Name,Address,Line,Train Information URL,Web URL,GIS Identifier,Master Address Repository Identifier,CREATOR,CREATED,EDITOR,EDITED
Tenleytown-AU,"4501 WISCONSIN AVENUE NW, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A07|Tenleytown-AU,https://www.wmata.com/rider-guide/stations/tenleytown.cfm,MetroStnFullPt_85,"294,846",JLAY,"11/30/2022, 3:32 PM",JLAY,"11/30/2022, 3:32 PM"
West Falls Church,"7040 HAYCOCK ROAD, FALLS CHURCH, VA",orange,https://www.wmata.com/js/nexttrain/nexttrain.html#K06|West%20Falls%20Church-VT/UVA,https://www.wmata.com/rider-guide/stations/west-falls-church.cfm,MetroStnFullPt_86,,JLAY,"11/30/2022, 3:32 PM",JLAY,"11/30/2022, 3:32 PM"
Wiehle-Reston East,"1862 WIEHLE AVENUE RESTON, VA 20190",silver,https://www.wmata.com/js/nexttrain/nexttrain.html#N06|Wiehle-Reston%20East,https://www.wmata.com/rider-guide/stations/wiehle-reston.cfm,MetroStnFullPt_53,,JLAY,"11/30/2022, 3:32 PM",JLAY,"11/30/2022, 3:32 PM"
College Park-U of Md,"4931 CALVERT ROAD, COLLEGE PARK, MD",green,https://www.wmata.com/js/nexttrain/nexttrain.html#E09|College Park-U of MD,https://www.wmata.com/rider-guide/stations/college-park.cfm,MetroStnFullPt_54,,JLAY,"11/30/2022, 3:32 PM",JLAY,"3/19/2024, 3:27 PM"
Capitol Heights,"133 CENTRAL AVENUE, CAPITOL HEIGHTS, MD","blue, silver",https://www.wmata.com/js/nexttrain/nexttrain.html#G02|Capitol Heights,https://www.wmata.com/rider-guide/stations/capitol-hghts.cfm,MetroStnFullPt_55,,JLAY,"11/30/2022, 3:32 PM",JLAY,"3/19/2024, 3:27 PM"
Morgan Boulevard,"300 GARRETT MORGAN BLVD., LANDOVER, MD","blue, silver",https://www.wmata.com/js/nexttrain/nexttrain.html#G04|Morgan Boulevard,https://www.wmata.com/rider-guide/stations/morgan-blvd.cfm,MetroStnFullPt_56,,JLAY,"11/30/2022, 3:32 PM",JLAY,"3/19/2024, 3:27 PM"
Georgia Ave-Petworth,"3750 GEORGIA AVENUE NW, WASHINGTON, DC",green,https://www.wmata.com/js/nexttrain/nexttrain.html#E05|Georgia Ave-Petworth,https://www.wmata.com/rider-guide/stations/georgia-ave.cfm,MetroStnFullPt_57,"316,437",JLAY,"11/30/2022, 3:32 PM",JLAY,"3/19/2024, 3:27 PM"
Takoma,"327 CEDAR STREET NW, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B07|Takoma,https://www.wmata.com/rider-guide/stations/takoma.cfm,MetroStnFullPt_58,"294,822",JLAY,"11/30/2022, 3:32 PM",JLAY,"11/30/2022, 3:32 PM"
Glenmont,"12501 GEORGIA AVENUE, SILVER SPRING, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B11|Glenmont,https://www.wmata.com/rider-guide/stations/glenmont.cfm,MetroStnFullPt_59,,JLAY,"11/30/2022, 3:32 PM",JLAY,"11/30/2022, 3:32 PM"
Wheaton,"11171 GEORGIA AVENUE, SILVER SPRING, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B10|Wheaton,https://www.wmata.com/rider-guide/stations/wheaton.cfm,MetroStnFullPt_60,,JLAY,"11/30/2022, 3:32 PM",JLAY,"11/30/2022, 3:32 PM"
Forest Glen,"9730 GEORGIA AVENUE, FOREST GLEN, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B09|Forest Glen,https://www.wmata.com/rider-guide/stations/forest-glen.cfm,MetroStnFullPt_61,,JLAY,"11/30/2022, 3:32 PM",JLAY,"11/30/2022, 3:32 PM"
Silver Spring,"8400 COLESVILLE ROAD, SILVER SPRING, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B08|Silver%20Spring,https://www.wmata.com/rider-guide/stations/silver-spring.cfm,MetroStnFullPt_62,,JLAY,"11/30/2022, 3:32 PM",JLAY,"11/30/2022, 3:32 PM"
Brookland-CUA,"890 MONROE STREET NE, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B05|Brookland-CUA,https://www.wmata.com/rider-guide/stations/brookland.cfm,MetroStnFullPt_63,"316,412",JLAY,"11/30/2022, 3:32 PM",JLAY,"11/30/2022, 3:32 PM"
Fort Totten,"201 GALLOWAY STREET NE, WASHINGTON, DC","red, green","https://www.wmata.com/js/nexttrain/nexttrain.html#B06,E06|Fort Totten",https://www.wmata.com/rider-guide/stations/fort-totten.cfm,MetroStnFullPt_64,"316,355",JLAY,"11/30/2022, 3:32 PM",JLAY,"3/19/2024, 3:27 PM"
Hyattsville Crossing,"3575 EAST WEST HIGHWAY, HYATTSVILLE, MD",green,https://www.wmata.com/js/nexttrain/nexttrain.html#E08|Prince%20George%27s%20Plaza,https://www.wmata.com/rider-guide/stations/hyattsville-xing.cfm,MetroStnFullPt_65,,JLAY,"11/30/2022, 3:32 PM",JLAY,"3/19/2024, 3:27 PM"
West Hyattsville,"2700 HAMILTON ST., HYATTSVILLE, MD",green,https://www.wmata.com/js/nexttrain/nexttrain.html#E07|West%20Hyattsville,https://www.wmata.com/rider-guide/stations/west-hyattsville.cfm,MetroStnFullPt_66,,JLAY,"11/30/2022, 3:32 PM",JLAY,"3/19/2024, 3:27 PM"
Benning Road,"4500 CENTRAL AVENUE NE, WASHINGTON, DC","blue, silver",https://www.wmata.com/js/nexttrain/nexttrain.html#G01|Benning Road,https://www.wmata.com/rider-guide/stations/benning-rd.cfm,MetroStnFullPt_67,"316,344",JLAY,"11/30/2022, 3:32 PM",JLAY,"3/19/2024, 3:27 PM"
Addison Road-Seat Pleasant,"100 ADDISON ROAD S., CAPITOL HEIGHTS, MD","blue, silver",https://www.wmata.com/js/nexttrain/nexttrain.html#G03|Addison Road-Seat Pleasant,https://www.wmata.com/rider-guide/stations/addison-rd.cfm,MetroStnFullPt_68,,JLAY,"11/30/2022, 3:32 PM",JLAY,"3/19/2024, 3:27 PM"
